Producto	Precio	Stock	Categoría	Código de Barras
Clamoxin 12 H Junior 400MG 57 5 MG	450	5	GENERICO	7502009740503
Clamoxin 875-125 Amoxicilina Acido Clavulonico C 14	790	0	GENERICO	7502009746055
Clamoxin Amoxicilina Acido Clavulonico 500mg/125 mg 16 Tabs	690	2	GENERICO	7502009747731
Claritromicina 500MG 10 Tabletas Vikrol	300	2	GENERICO	785118753979
Clindamicina 300MG 16 Capsulas Indacil	280	8	GENERICO	7502009740558
Clindamicina Crema 1G Dalatina	290	2	GENERICO	785118752415
Coca Cola - 600ml	35	0	Bebidas
Coca Cola Lata 235ml	30	19	Bebidas
Coca Cola LIGHT	35	3	Bebidas
Colchicina 1mg 20 tabletas Colchiquim	290	1	GENERICO	7501109762446
Colgate Cepillo Mediano	60	24	Cuidado Personal	6910021007206
Colgate Kids 50 g	100	3	PATENTE	7509546072272
Colgate Luminos White Carbon Activado	120	0	Cuidado Personal	7509546674018
Colgate Luminous White 29g	90	0	Cuidado Personal	7509546054032
Colgate Maxima Proteccion Anticaries 22Ml	0	0	PATENTE	7509546039152
Colgate Sensitive Original 100mg	130	0	Cuidado Personal	7891024134405
Conazol Ketoconazol Crema 2%	180	0	GENERICO	7501299368022
Condones Sico Invisible 3 Condones	140	1	OTC	7501685171113
Condones Sico Safety Seguridad	140	2	OTC	7501058367129
Condones Trojan Ecstasy	180	0	OTC	7501080952133
Condones Trojan Fire And Ice Latex	180	2	OTC	7501080953017
Condones Trojan Piel Desnuda Puntos de Placer	180	2	OTC	7501080901193
Condones Trojan Piel Desnuda Sensibilidad	180	0	OTC	7501080901186
Corega Ultra sabor Menta 40 mg	240	2	GENERICO	7896009400148
Corta Uñas de La Vega 1 Pieza	80	1	OTC	7501289902564
Crema Blanca Bustillos Hidroquinona	380	2	GENERICO	7501185730568
Crema para afeitar Gillete	100	4	Cuidado Personal	75062613
Curitas 10 Unidades Transpiel	80	2	OTC	7702003469282
Curitas Sensitive c 20 unidades	150	0	Cuidado Personal	7501054550648
Curitas XL 10 unidades Flex	100	1	OTC	4005900942791
Curita Tela Elastica c 20 unidades	100	0	Cuidado Personal	7702003010736
Curita Trans Piel c 10	50	0	Cuidado Personal	7702003010774
Desodrante Dove Original Roll on	80	1	Cuidado Personal	75062835
Desodrante Dove Tono Uniforme	80	1	Cuidado Personal	75062828
Desodrante Gillete Artic ICE	120	2	Cuidado Personal	7702018913671
Desodrante Rexona Bamboo Fresh	120	3	Cuidado Personal	75062897
Desodrante Rexona Powder Dry	120	3	Cuidado Personal	75062927
Dexabion Complejo B 1 Jeringa con 3 Ml	700	1	PATENTE	7501298217673
Dextrometorfano 300Mg/100 Ml Debequin	190	0	OTC	7501825300076
Diclofenaco 100 MG C20 Avivia	190	12	GENERICO	7502216803862
Diclofenaco 2.32% Voltaren Emulgel 50G	320	0	PATENTE	7501065084996
Difenhidramina 25MG 24 Tabletas Benadryl 24 Tabletas	290	0	PATENTE	7501007531601
Difenhidramina 50MG 8 Tabletas Hidrigort	190	3	GENERICO	7501825304142
Dilostop Loperamida c 12 Tabletas 2 mg	170	6	GENERICO	780083142506
Dimenhidrinato 50mg Dramamine 24 Tabletas	290	0	PATENTE	7501007532363
Dolo Neurobion Forte 10 Tabletas	700	3	PATENTE	7501298214986
Doraldent Kit De Ortodoncia	150	5	Cuidado Personal	7501061813125
Doxiciclina 100MG 10 Tabletas Alpharma	300	0	GENERICO	7502226291857
Dramamine Dimenhidrinato Sobre 50 MG 2 Tabletas	80	0	PATENTE	7501109928750
Dramamine for Kids Chewable	290	0	OTC	B0D7FF5Y3X
Dr Pepper 355ml Lata	35	10	Bebidas
Erbitrax Terbinafina 1g 100g 30 g	220	1	GENERICO	7502211783282
Erispan Betametasona Solucion	280	3	GENERICO	7502009740916
Eritromicina 500MG 20 Tabletas Bioresearch	360	3	GENERICO	7501563380170
Eritromicna 500 mg C20 Tabletas Alpharma	270	2	GENERICO	7502226294773
Escitalopram 10 mg 14 tabletas AMSA	700	7	GENERICO	7501349024465
Esomeprazol 40MG 14 Tabletas Ultra Labs	540	3	GENERICO	7502216808430
Estrogenos Conjugados 28 Tabletas 0.625mg Ultra Labs	760	5	GENERICO	7502216808539
Estrogenos Conjugados Crema 62.5MG Ultra Labs	950	1	GENERICO	7502216796782
Excedrin 24 Tabletas 250 mg	280	3	OTC	7501065064714
Fedpros - Tamsulosina 0.4mg - 20 capsulas	290	5	GENERICO	7502227872192
Fenazopiridina 100Mg C20 Urezol	320	7	GENERICO	785118752477
Fenazoporidina 20 tabletas Botella	320	9		7501384545659
Fexofenadina 120MG 10 Tabletas AMSA	360	2	GENERICO	7501349027060
Fexofenadina 120MG 10 Tabletas Biostafex	360	0	GENERICO	7501573904151
Fexofenadina 180MG 10 Tabletas AMSA	420	2	GENERICO	7501349025059
Finazterida Tabletas 5mg C30	290	2	GENERICO	7502216804852
Fleridux Fluconazol 100 mg c10 capsulas	500	1	GENERICO	7502216793583
Fluconazol 150MG 1 Capsula AMSA Labs	140	5	GENERICO	7501349012943
Fluconazol C10 Capsulas 100MG	420	0	GENERICO	7502216802896
Fluconazol c4 Capsulas 150mg Dofil	350	0	GENERICO	7257427604646
Fluconazol Dofil 150 mg 30 cápsulas	920	2	GENERICO	7503044182419
Fluoxetina 20 Mg 14 Capsulas ANIUP	290	3	GENERICO	7502227871508
Fluoxetina 20 Mg C28 Capsulas ANIUP	380	3	GENERICO	7502227871515
FotoSUN UV 100	290	7	Cuidado Personal	7502253602367
Fotos un UV 100 contra Luz Azul	280	5	OTC	7502253603647
Furosemida 40MG 20 Tabletas Diurmessel	180	6	GENERICO	7501573900375
Gabapentina 300MG 30 Capsulas Wermy	320	6	GENERICO	7502240450780
Graneodin B Benzocaina 24 Pastillas Eucalipto	220	0	OTC	7501058715517
Graneodin B Benzocaina 24 Pastillas Frambueza	220	0	OTC	7501095409004
Graneodin B Benzocaina 24 Pastillas Miel y Limon	220	0	OTC	7501095409059
Guaifenesina 1.6 g/100 Mg Vick 44 Exp	240	2	OTC	7590002037157
Guaifenesina, Dextrometorfano Vick 44	240	0	OTC	7501001116187
Guaifenesina, Oxolamina 2G/1g/100ml guaxoquim	220	0	OTC	7502223112193
Gum PROXA Brush	180	4	Cuidado Personal	070942914147
Head and Shouders Limpieza Renovadora	100	0	Cuidado Personal	7500435019958
Hidroclorotiazida 25MG 20 Tabletas Ultra Labs	160	2	GENERICO	7502216794993
Hidrocortisona 1.0% Crema Collicort Collins	320	5	GENERICO	780083142537
Hidrocortisona 2.5% Crema Collicort Collins	490	18	GENERICO	780083142544
Histiacil Fam Jarabe Adulto	300	1	OTC	7501165010673
Histiacil Fam jarabe infantil	270	2	OTC	7501165010727
Histiacil NF dex/ambroxol - Adulto	300	1	OTC	7501328979502
Huggies Ultra Confort	440	3	Departamento de bebe	7506425604241
Ibuprofeno 400MG 10 Tabletas Dolprofen	160	0	GENERICO	780083148829
Ibuprofeno 600MG 10 Tabletas Dolprofen	220	3	GENERICO	780083148843
Ibuprofeno 600 mg c10 Adopren	220	2	GENERICO	7501842900105
Ibuprofeno 800MG 10 Tabletas Dolprofen	270	0	GENERICO	780083148805
Ibuprofeno 800 Mg C10 Adopren	220	0	GENERICO	7501842952890
Ibuprofeno 800 mg con 100 tabletas INPAINED	940	0	GENERICO	670079000838
Ibuprofeno Adopren 800mg C 50 Tabletas	600	0	GENERICO	7501842900716
Ibuprofeno Advil Ibuprofeno 200 Mg 24 Tabletas	180	0	OTC	7501065076182
Ibuprofeno Motrin Infantil 2G/100 ML	390	0	OTC	7501007535494
Ivermectina 6MG 4 Tabletas Veridex Maver	270	0	GENERICO	7502009747366
Ivermectina C4 6MG Generica	280	0	GENERICO	7428327339917501122901976
Jarabe Dextrometorfano/ Guaifenasina/ Fenilefrina	220	1	OTC	7501342801100
Jugo JUMEX 355ml Lata	35	17
Ketorolaco 10MG 10 Tabletas AVIVA	280	4	GENERICO	7502216803893
Ketorolaco 10MG 10 Tabletas Lorotec	280	0	GENERICO	7502009740244
Ketorolaco 10MG 10 Tabletas Mavidol	190	0	GENERICO	785120754766
Ketorolaco/Tramadol C10 Mavidol TR	290	3	GENERICO	785120754841
Kleen Bebe Absorsec	180	2	Departamento de bebe	7501017375189
Kleen Bebe Suavelastic	550	2	Departamento de bebe	7501017366316
Kotex Slim toallas femeninas	100	5	Cuidado Personal	7501943490994
Kotex Unika c12 Tampones	90	4	Cuidado Personal	7506425625536
Labello 24 H Humectacion	150	1	Cuidado Personal	7501054503637
Labello Cereza	150	0	Cuidado Personal	7501054502777
Labello Original	150	1	Cuidado Personal	7501054504870
Lansoprazol 30MG 14 Capsulas Avancid	380	3	GENERICO	7502009740756
Latanaprost Solucion 0.5 MG 3 Ml OPKO	420	4	GENERICO	75055813
Levofloxacino 500 MG 7 Tabletas UNIQUIN	420	1	GENERICO	780083146863
Levofloxacino 750mg AMSA 7 TABLETAS	580	5	GENERICO	7501349021433
Levonogestrel 1.5mg Post Day Alina	300	1	GENERICO	7502214980619
Levonogestrel 1.5mg Post Day Prudence	250	0	GENERICO	7502214983375
Levonogestrel C1 1.5mg ADN	200	4	GENERICO	7506449300020
