Producto	Precio	Stock	Categoría	Código de Barras
Tums Sabores surtidos c48 tabletas	180	4	OTC	7501065054029
Tylenol C10 Tabletas 500 mg	180	0	PATENTE	7501109913268
Tylenol Jarabe Infantil	320	0	OTC	7501100088170
Tylenol Jarabe Pediatrico	200	1	GENERICO	7501100088217
Tylenol Paracetamol 500mg 20 Tabletas	220	0	OTC	7501100088095
Valaciclovir Camber 500 mg c 10 Tabletas	1000	14	GENERICO	7506442701923
Valaciclovir Comprimido 500 mg Amsa	800	1	GENERICO	7501349021945
Valaciclovir Tableta 500 mg C10 Serral	800	5	GENERICO	7501258208550
Venda Elastica Protect 7 cm	30	2	Cuidado Personal	7501048693306
Venda Elastica Protect Grande 10 cm	50	0	Cuidado Personal	7501048693603
Vermox Mebendazol 1 Tableta 500 mg	270	1	PATENTE	7501109900596
Vermox Suspencion 60 mg ML	290	3	PATENTE	7501109904853
Viagra Original C1 100 mg	1100	1	PATENTE	7501287688224
Viagra Sildenafil C4 Tableta Original	1800	0	PATENTE	7501287688231
Vics Drops Sabor Mentol 20 Pastillas	100	0	OTC	7500435246293
Vics Drops Sabor Miel 20 Pastillas	100	0	OTC	7500435246286
Vic VapoRub Lata	90	10	OTC	75916565
Vitacilina Unguento 16 G Neomicina Retinol	160	1	OTC	354312225140
Vitacilina Unguento 28 g	220	4	Cuidado Personal	354312225133
Vitamina C - Complejo B - Zinc Advantax	300	0	OTC	7502253602312
Volfenac Gel 2.32% Diclofenaco	390	10	GENERICO	780083149024
Voltaren 24H Parche Diclofenaco 30 mg	490	1	PATENTE	7501065024701
Vomisin Dimenhidrato C20 Tabletas	200	8	GENERICO	7502003388107
XL-3 Resfriado Común 10 Tabletas	180	2	OTC	650240052545
XL3 VR Anti Viral c24 tabletas	220	2	OTC	650240017100
XL-3 Xtra 12 Tabletas Gripa y Tos	180	0	OTC	650240017094
